brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,DGN12C,ทั่วไป,ทั่วไป,173,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DJI LITO 1 FLY MORE COMBO (DJI RC -N3) [DGN12C (AIRCRAFT)/RC151 (REMOTE CONTROLLER)] ;; DJI LITO 1 FLY MORE COMBO (DJI RC-N3) [DGN12C(AIRCRAFT)/RC151(REMOTE CONTROL)] ;; DJI LITO 1 [DGN12C (AIRCRAFT)/RC151 (REMOTE CONTROLLER)]
DJI,MAVIC 3 CINE,ทั่วไป,ทั่วไป,172,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L2P
DJI,INSPIRE 1,ทั่วไป,ทั่วไป,168,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,INSPIRE 1
HUBSAN,ZINO PRO+,ทั่วไป,ทั่วไป,159,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZINO PRO+
AUTEL ROBOTICS,EVO II PRO,ทั่วไป,ทั่วไป,159,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO II PRO
HUBSAN,ZINO MINI PRO,ทั่วไป,ทั่วไป,152,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,"ZINO MINI PRO ;; ZINO MINI PRO (DRONE) , HT018F (REMOTE)"
DRONE THAI,DT410,เกษตร,เกษตร-ไม่ใช่ DJI,151,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DT410
XAG,3WWDZ-30AT,เกษตร,เกษตร-ไม่ใช่ DJI,142,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,3WWDZ-30AT
AUTEL ROBOTICS,EVO LITE ENTERPRISE 6K,ทั่วไป,ทั่วไป,140,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO LITE ENTERPRISE 6K
DJI,PHANTOM 2,ทั่วไป,ทั่วไป,140,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM 2
