brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,"L1Z , RM500(CONTROLLER)",ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,"L1Z(AIRCRAFT), RM500(CONTROLLER)"
YUNEEC,MANTIS Q,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MANTIS Q
BETAFPV,PAVO25 V2,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PAVO25 V2
BETAFPV,PAVO20,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PAVO20
HOLY STONE,HS720G,ทั่วไป,ทั่วไป,3,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,HS720G
GEPRC,VAPOR D5,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,VAPOR D5
GEPRC,TERN LR-40,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TERN LR-40
HUBSAN,H501SS PRO,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H501SS PRO
SHANG HENG,AE86 PROMAX,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AE86 PROMAX
WALKERA,QR-350PRO,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,QR-350PRO
HUBSAN,H501S PRO,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H501S PRO
GEPRC,GEPRC MARK5,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,GEPRC MARK5
GEPRC,CINELOG30 V3,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINELOG30 V3
DJI AVATA,QF2W4K,ทั่วไป,ทั่วไป,3,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,QF2W4K
DJI,AVATA QF2W4K,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AVATA QF2W4K
GEPRC,CINELOG 25,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINELOG 25
DJI,WM331A และ GL300F,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,WM331A และ GL300F
EHANG,GHOST DRONE 2.0,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,GHOST DRONE 2.0
FREEFLY,ALTA X,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ALTA X
DJI MAVIC 3 CINE,MAVIC 3 CINE,เกษตร,เกษตร-ไม่ใช่ DJI,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3 CINE
FLYABILITY,ELIOS2,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ELIOS2
DJI MAVIC MINI 2,MT2PD,ทั่วไป,ทั่วไป,3,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT2PD
DJI MAVIC MINI,MT1SD25,ทั่วไป,ทั่วไป,3,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT1SD25
DJI,4K MINI,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,4K MINI
POTENSIC,ATOM DRONE,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM DRONE
FIMI X8 MINI,FMWRJ04A7,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FMWRJ04A7
FIMI,X8 TELE,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8 TELE
QUANTUM SYSTEMS,TRINITY PRO,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TRINITY PRO
SB1,RP08 6-20,เกษตร,เกษตร-ไม่ใช่ DJI,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RP08 6-20
FEIMA,J.ME,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,J.ME
DJI,MAVIC AIR U11X,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC AIR U11X
OBK,ALTA-X9,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ALTA-X9
ประกอบเอง,FIX WING,ทั่วไป,ทั่วไป,3,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FIX WING
DJI,MAVIC 3 V2.0,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3 V2.0
DJI,MAVIC MINI 3PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC MINI 3PRO
ZLL,SG906 PRO MAX,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SG906 PRO MAX
DJI,MAVIC PRO 1,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC PRO 1
THE HELICOPTER GIRLS,X-AERIAL LIFTER X8 9,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X-AERIAL LIFTER X8 9
DJI,MAVIC 3 MULTISPECTRAL TH,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3 MULTISPECTRAL TH (M3M TH)
ประกอบเอง,HOBBYKING,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,HOBBYKING
ประกอบเอง,F450,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F450
DJI,AIRCRAFT T650A,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIRCRAFT T650A
DJI,AIR MAVIC 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR MAVIC 2
DJI,AIR 4,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR 4
DJI,ADS-B,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ADS-B
DJI,MAVIC 2 MINI,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 2 MINI
DJI,"MAVIC2 ZOOM/L1Z,L1ZA",ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,"MAVIC2 ZOOM/L1Z,L1ZA"
DJI,MAVIC2 ENTERPRISE DUAL,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC2 ENTERPRISE DUAL
DJI,MAVIC ZOOM,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC ZOOM
DJI,MAVIC PRO PLATINUM M1X,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC PRO PLATINUM M1X
XIRO,XPLORER,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,XPLORER
XIAOMI,MI DRONE 4K,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MI DRONE 4K
AUTEL ROBOTICS,MDXM2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MDXM2
AUTEL ROBOTICS,EVO NANO SERIES,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO NANO SERIES
FIMI,X8SE2020,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8SE2020
FIMI,X8 MINI DRONE,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X8 MINI DRONE
FIMI,FMWRJ03A8,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FMWRJ03A8
SENSEFLY,EBEE PLUS RTK,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EBEE PLUS RTK
DJI,2 MINI,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2 MINI ;; DJI 2 MINI
DJI,2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2 ;; FLY MORE COMBO 2
FARM D,FOX 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FOX 2
EPP FOAM GLIDER,EPP FOAM GLIDER,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EPP FOAM GLIDER
EMAX,TINYHAWK III PLUS FREESTYLE BNF,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TINYHAWK III PLUS FREESTYLE BNF
EAVISION,3WWDZ-30B,เกษตร,เกษตร-ไม่ใช่ DJI,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,3WWDZ-30B
DRONE DJI,MINI 3 PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3 PRO ;; DJI MINI 3 PRO / MT3M3VD
DREAM FLY,HC 628,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,HC 628
DK 8K/4K CAMERA DRONE,DKDRONE-84K,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DKDRONE-84K
DJO,MINI 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 2
DJI NEO 2,DEN225,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DEN225
DJI MINI2,MT2PD,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT2PD
DJI MINI PRO 4,MT4MFVD,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT4MFVD
DJI MINI PRO 3,MT3M3VD,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT3M3VD
DJI MINI 3,MT3PD,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT3PD
DJI MINI,3 PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,3 PRO
DJI MAVIC MINI SE,MT2SS5,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT2SS5
GEPRC,CINEBOT 30,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINEBOT 30
GEPRC,CINE LOG 30 V3,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINE LOG 30 V3
FREE FLY,ALTA X,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ALTA X
FPV RACING,CG035,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,CG035
FPV,CG035,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,CG035
FOXTECH,LOONG 2160 VTOL,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,LOONG 2160 VTOL
FLYWOO,LR4,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,LR4
FLYWOO,EXPLORER,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EXPLORER
FLYWOO,CINERACE20 V2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINERACE20 V2
FLYFISH,ATLAS 4,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATLAS 4
DJI MAVIC MINI,MT2PD,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT2PD
DJI MAVIC MINI,MR1SS5,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MR1SS5
DJI MAVIC AIR 2,MA2UE3W,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MA2UE3W
DJI MAVIC AIR,U11X,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,U11X
DJI MAVIC 3,L2A,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L2A
DJI MAVIC,MINI,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI
DJI,AVATTA,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AVATTA
DJI,AVATAR 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AVATAR 2
BETAFPV,PAVO 20,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PAVO 20
PT,PHANTOM,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM
POTENSIC,ATOM2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM2
POTENSIC,ATOM LT,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM LT
POTENSIC,ATOM 3,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM 3
DJI,AAVATA 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AAVATA 2
DJI,5 MINI PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,5 MINI PRO
PARROT,BEBOP DRONE 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BEBOP DRONE 2
DJI MAVIC,AIR 2S,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR 2S
DJI AIR 2S,DA2SUE1,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DA2SUE1
DJI,ZOOM/L1Z,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZOOM/L1Z
DJI,DN1A1303,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DN1A1303
DJI,T650A / INSPIRE2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,T650A / INSPIRE2
GEPRC,MARK 5 DC,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MARK 5 DC
GEPRC,DARKSTAR 20,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DARKSTAR 20
DJI,DN1A0832,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DN1A0832
DJI,DN1A0822,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DN1A0822
GEPRC,CINELOG25,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINELOG25
GEPRC,CINELOG 30 V3,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINELOG 30 V3
GEPRC,CINELOG 2S,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINELOG 2S
GEPRC,CINELOG,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINELOG
ASCTEC,INTEL FALCON 8 TRINITY,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,INTEL FALCON 8 TRINITY
YUNEEC,BREEZE 4K,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BREEZE 4K
XM2,TANGO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TANGO
XM2,SIERRA,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SIERRA
XK DETECT,(ไม่ระบุ),ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
AUTEL ROBOTICS,EVO MAX 4N,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO MAX 4N (TH)
AUTEL ROBOTICS,EVO LITE ENTERPRISE 640T,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EVO LITE ENTERPRISE 640T
DJI,SPARK MM1A,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARK MM1A
DJI,PRO MINI 4,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PRO MINI 4
DJI,PHANTOM4 PRO+OBSIDIAN,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM4 PRO+OBSIDIAN (EU)
DJI,PHANTOM4 PRO V2.0,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM4 PRO V2.0
DJI,DN1A0784,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DN1A0784
DJI,DN1A0769,ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DN1A0769
HOLY STONE,HS 360E,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,HS 360E
GEPRC,VAPOR-X5 DC,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,VAPOR-X5 DC
GEPRC,VAPOR-D5,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,VAPOR-D5
DJI,INSPIRE,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,INSPIRE
DJI,FPV 2,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FPV COMBO 2
DJI,FLYCART 100,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FLYCART 100 (CE)
DJI,F550,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F550
DJI,PHANTOM PROFESSIONAL,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM PROFESSIONAL
SJRC,F11S PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11S PRO
DIJ,MINI 3 PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 3 PRO
SJRC,F11S,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11S
SIMTOO MOMENT,(ไม่ระบุ),ทั่วไป,ทั่วไป,2,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
DJI,03 AIR UNIT,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,03 AIR UNIT
DJ,MINI 4 PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 4 PRO
HUBSAN,H109S PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H109S PRO
QUANTUM SYSTEMS,TRINITY F90+,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TRINITY F90+
WALKERA,SCOUT X4,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SCOUT X4
WALKERA,QR Y100,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,QR Y100
VERTICAL TECHNOLOGIES,DELTAQUAD PRO #VIEW,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DELTAQUAD PRO #VIEW
VERTICAL TECHNOLOGIES,DELTAQUAD PRO,ทั่วไป,ทั่วไป,2,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DELTAQUAD PRO
