year,flow,partner,partner_code,value_usd,qty,net_weight_kg
2022,export,World,0,1054863.32,240.0,17521.0
2022,import,World,0,37932343.298,23502.0,173112.0
2023,export,World,0,41624605.177,16381.0,
2023,import,World,0,73466922.314,45765.194,333396.716
2024,export,World,0,38090845.31,26016.0,75142.543
2024,import,World,0,88260305.9,90949.002,453437.195
